X	Y	Z
-1110	5970	168.467614116013
-1110	6030	281.399553166017
-1110	6090	394.33149221602
-1110	6150	507.263431266023
-1110	870	1669.25279486574
-1110	870.001	1669.25267706472
-1110	930	1602.18473391574
-1110	930.001	1602.18461611472
-1110	990	1595.11667296574
-1110	990.001	1595.11655516473
-1170	-1050	1352.71602407405
-1170	-1110	1299.78408502404
-1170	-1170	1306.85214597404
-1170	-1230	1253.92020692404
-1170	-1290	1200.98826787403
-1170	-1350	1208.05632882403
-1170	-1410	1095.12438977403
-1170	-1470	1042.19245072402
-1170	-1530	989.260511674019
-1170	-1590	876.328572624016
-1170	-1650	823.396633574012
-1170	-1710	770.464694524009
-1170	-1770	777.532755474006
-1170	-1830	724.600816424003
-1170	-1890	671.668877373999
-1170	-1950	678.736938323996
-1170	-2010	625.804999273993
-1170	-2070	632.87306022399
-1170	-2130	579.941121173986
-1170	-2190	527.009182123983
-1170	-2250	474.07724307398
-1170	-2310	481.145304023977
-1170	-2370	428.213364973974
-1170	-2430	375.28142592397
-1170	-2490	382.349486873967
-1170	-2550	329.417547823964
-1170	-2610	336.48560877396
-1170	-2670	283.553669723957
-1170	-2730	290.621730673954
-1170	-2790	237.68979162395
-1170	-2850	184.757852573947
-1170	-2910	191.825913523944
-1170	-2970	198.89397447394
-1170	-3030	145.962035423937
-1170	-3090	153.030096373934
-1170	-3150	100.098157323931
-1170	-3210	107.166218273927
-1170	-3270	114.234279223924
-1170	-3330	61.302340173921
-1170	-3390	68.3704011239174
-1170	-3450	75.4384620739143
-1170	-3510	82.5065230239111
-1170	-3570	29.5745839739079
-1170	-3630	36.6426449239043
-1170	-3690	43.7107058739011
-1170	-3750	50.778766823898
-1170	-3810	57.8468277738948
-1170	-3870	64.9148887238916
-1170	-390	1814.96735362408
-1170	-390.001	1754.9674714251
-1170	-3930	71.982949673888
-1170	-3990	79.0510106238848
-1170	-4050	86.1190715738817
-1170	-4110	93.1871325238781
-1170	-4170	100.255193473875
-1170	-4230	107.323254423872
-1170	-4290	114.391315373869
-1170	-4350	121.459376323865
-1170	-4410	128.527437273862
-1170	-4470	135.595498223859
-1170	-450	1702.03541457408
