X	Y	nZxy
-1170	-1830	666.977714055693
-1170	-1890	724.81473640776
-1170	-1950	782.651758759826
-1170	-2010	840.488781111893
-1170	-2070	898.32580346396
-1170	-210	65.3781105498974
-1170	-2130	956.162825816026
-1170	-2190	953.999848168093
-1170	-2250	1071.83687052016
-1170	-2310	1129.67389287223
-1170	-2370	1187.51091522429
-1170	-270	123.215132901964
-1170	-29.9998	71.8670507036234
-1170	-30	71.8670434936978
-1170	-330	121.05215525403
-1170	-390	118.889177606097
-1170	-450	116.726199958164
-1170	-510	114.56322231023
-1170	-570	112.400244662296
-1170	-630	110.237267014363
-1170	-690	108.07428936643
-1170	-750	165.911311718496
-1170	-810	163.748334070563
-1170	-870	161.585356422629
-1170	-870.001	221.585320373002
-1170	-89.9998	69.7040730556898
-1170	-90	69.7040658457643
-1170	-930	159.422378774696
-1170	-930.001	219.422342725068
-1170	-989.999	217.25943717639
-1170	-990	157.259401126762
-1170	1050	230.8006411565
-1170	1110	232.963618804434
-1170	1170	235.126596452367
-1170	1230	297.289574100301
-1170	1290	299.452551748234
-1170	1350	301.615529396168
-1170	1410	363.778507044101
-1170	1470	365.941484692035
-1170	150	18.3559764374982
-1170	1530	428.104462339968
-1170	1590	430.267439987902
-1170	1650	492.430417635835
-1170	1710	554.593395283769
-1170	1770	556.756372931702
-1170	1830	618.919350579636
-1170	1890	621.082328227569
-1170	1950	683.245305875503
-1170	2010	685.408283523436
-1170	2070	747.57126117137
-1170	210	20.5189540854317
-1170	2130	749.734238819303
-1170	2190	811.897216467237
-1170	2250	814.06019411517
-1170	2310	816.223171763103
-1170	2370	818.386149411037
-1170	2430	820.54912705897
-1170	2490	822.712104706904
-1170	2550	824.875082354837
-1170	2610	827.038060002771
-1170	2670	829.201037650704
-1170	270	22.6819317333652
-1170	2730	771.364015298638
-1170	2790	773.526992946571
-1170	2850	775.689970594505
-1170	2910	837.852948242438
-1170	2970	840.015925890372
-1170	30	74.0300211416313
-1170	30.0002	74.0300283515569
-1170	3030	842.178903538305
-1170	3090	844.341881186239
-1170	3150	786.504858834172
-1170	3210	788.667836482106
-1170	3270	790.830814130039
-1170	330	24.8449093812987
-1170	3330	792.993791777973
-1170	3390	795.156769425906
-1170	3450	797.31974707384
-1170	3510	799.482724721773
-1170	3570	801.645702369706
-1170	3630	803.80868001764
-1170	3690	805.971657665574
-1170	3750	808.134635313507
-1170	3810	750.29761296144
-1170	3870	752.460590609374
-1170	390	27.0078870292323
-1170	3930	754.623568257307
-1170	3990	696.786545905241
-1170	4050	698.949523553174
-1170	4110	581.112501201108
-1170	4170	523.275478849041
-1170	4230	465.438456496975
-1170	4290	407.601434144908
-1170	4350	409.764411792842
-1170	4410	351.927389440775
-1170	4470	294.090367088709
-1170	450	29.1708646771656
-1170	4530	296.253344736642
-1170	4590	298.416322384576
-1170	4650	240.579300032509
-1170	4710	242.742277680443
-1170	4770	244.905255328376
-1170	4830	187.068232976309
-1170	4890	189.231210624243
-1170	4950	131.394188272177
-1170	5010	133.55716592011
-1170	5070	75.7201435680436
-1170	510	31.3338423250991
-1170	5130	17.8831212159769
-1170	5190	-39.9539011360896
-1170	5250	-97.7909234881561
-1170	5310	-95.6279458402225
-1170	5370	-153.464968192289
-1170	5430	-211.301990544356
-1170	5490	-269.139012896422
-1170	5550	-266.976035248489
-1170	5610	-324.813057600555
-1170	5670	-322.650079952622
-1170	569.999	93.4967839234052
-1170	570	93.4968199730326
-1170	5730	-320.487102304688
-1170	5790	-318.324124656755
-1170	5850	-316.161147008821
-1170	5910	-313.998169360888
-1170	5970	-311.835191712954
-1170	6030	-249.673214065021
-1170	6090	-127.510236417087
-1170	630	95.6597976209662
-1170	690	97.8227752688995
-1170	750	99.985752916833
-1170	809.999	162.148694515139
-1170	810	162.148730564767
-1170	870	164.3117082127
-1170	90	76.1929987895649
-1170	90.0002	76.1930059994902
-1170	930	166.474685860633
-1170	989.999	228.63762745894
-1170	990	228.637663508567
-1230	-1050	211.750218082818
-1230	-1110	209.587240434885
-1230	-1170	207.424262786951
-1230	-1230	265.261285139018
-1230	-1290	263.098307491084
-1230	-1350	320.935329843151
